ID,Last Name,First Name ,RIF?,Legacy,Group #,SF,LC,PS,I,PIG 1,PIG 2,Total,Notes (Rifs # and interests)
,Cooper,Camryn,Yes,,9,,1,1,2,,1,5,
,Corkern,Carrie,Yes,,10,,1,2,2,,0,5,
,Couch,Caroline G.,Yes,,11,,1,1,2,,1,5,
,Courtney,Caroline C.,Yes,,12,,1,1,1,,2,5,
,Covert,Carlton,Yes,,1,,1,1,2,,1,5,
,Cox,Casey,Yes,,2,,1,1,2,,1,5,
,Cox,Casey,Yes,,3,,1,1,2,,1,5,
,Cox,Cary,Yes,,4,,1,1,2,,1,5,
,Coyne,Carson,Yes,,5,,1,2,1,,1,5,
,Cradic,Courtney,Yes,,6,,1,1,2,,0,4,
,Crane,Courtney,Yes,,7,,1,1,2,,0,4,
,Craven,Courntey,Yes,,8,,1,1,2,,0,4,
,Creekmore,Corryl,Yes,,9,,1,1,2,,0,4,
,Crenshaw,Claire,Yes,,10,,1,1,2,,0,4,
,Critchlow,Ciara,Yes,,11,,,2,,,2,4,
,Crocker,Cierra,Yes,,12,,,2,1,,1,4,
,Cross,Christina,Yes,,1,,1,1,2,,0,4,
,Cross,Elgin,Yes,,2,,,1,2,,1,4,
,Crowell,Elana,Yes,,3,,0,1,2,,1,4,
,Cullum,Elaina,Yes,,4,,1,1,2,,0,4,
,Culp,E. Carlee,Yes,,5,,,2,,,2,4,
,Cummings,Elly,Yes,,6,,1,1,2,,0,4,
,Cunningham,Ellie,Yes,,7,,1,1,2,,0,4,
,Cunningham,Emily ,Yes,,8,2,1,0,,,1,4,
,Currey,Emily ,Yes,,9,,1,1,1,,1,4,
,Curtis,Emily ,Yes,,10,,1,0,2,,1,4,
,Cusimano,Emily ,Yes,,11,,1,1,2,,0,4,
,Czerwinski,Emily ,Yes,,12,,,2,,,2,4,
,Dabney,Emma,Yes,,1,,,2,2,,0,4,
,Dacus,Emma,Yes,,2,,,2,1,,1,4,
,Daly,Emily R.,Yes,,3,,1,1,1,,1,4,
,Dames,Gabby,Yes,,4,,,1,2,,1,4,
,Damron,Grace,Yes,,5,,1,2,1,,0,4,
,Dang,Grace,Yes,,6,,,2,,,2,4,
,Daniels,Glennis,Yes,,7,,,3,,,1,4,
,Daniels,Grace,Yes,,8,,,1,1,,2,4,
,Dansby,Grace,Yes,,9,,,1,2,,1,4,
,Daoust,Grace,Yes,,10,,1,1,2,,0,4,
,Dart,Hadley,Yes,,11,,,2,2,,0,4,
,Daughtry,Hailee,Yes,,12,,1,1,1,,1,4,
,Davalos,Hailey,Yes,,1,,1,1,2,,0,4,
,Davenport,Hailey,Yes,,2,,1,1,2,,0,4,
,Davidson,Haley,Yes,,3,,1,1,2,,0,4,
,Davis,Haleigh,Yes,,4,,1,1,1,,1,4,
,Davis,Hayley,Yes,,5,,1,1,1,,0,3,
,Davis,Hayley,Yes,,6,,,1,,,2,3,
,Davis,Hannah,Yes,,7,,,1,2,,0,3,
,Davis,Hannah,Yes,,8,,1,1,1,,0,3,
,Davis,Hannah,Yes,,9,,1,2,,,0,3,
,Davis,Janiyah,Yes,,10,,,1,2,,0,3,
,Davis,Jana,Yes,,11,2,,1,,,0,3,
,Davis,Izzy,Yes,,12,,1,0,1,,1,3,
,Davis,Izabelle,Yes,,1,,,1,,,2,3,
,Davis,Ivy,Yes,,2,0,,1,1,,1,3,
,Davis,Jill,Yes,,3,,,1,2,,0,3,
,Davis,Jessica,Yes,,4,,,1,2,,0,3,
,Davoren ,Jenny,Yes,,5,,,1,,,2,3,
,Davy,Jordan,Yes,,6,,,1,,,2,3,
,Day,Julia,Yes,,7,,,1,1,,1,3,
,Day,Julia,Yes,,8,,,2,1,,0,3,
,Day,Julia,Yes,,9,,,1,,,2,3,
,Dearie,Julia,Yes,,10,2,,1,,,0,3,
,Deck,Julia,Yes,,11,,,1,,,2,3,
,Dedic,Julia,Yes,,12,,,1,2,,0,3,
,DeFelice,Kathryn,Yes,,1,,,1,,,2,3,
,DeFeo,Katie,Yes,,2,,,1,2,,0,3,
,DeFeo,Katelyn,Yes ,,3,2,,1,,,0,3,
,DeJoe,Katharine,Yes ,,4,,,1,1,,1,3,
,Delk,Katharine,Yes ,,5,,,1,1,,1,3,
,Delucia,Katelyn,Yes ,,6,,,2,1,,0,3,
,DeMoss,Katelin,Yes ,,7,,,2,1,,0,3,
,Dender,Katie,,,8,2,,1,,,0,3,
,Dennis,Kelly,,,9,,1,1,1,,0,3,
,Dent,Kayla,,,10,,1,,2,,,3,
,Desnoyer,Katy,,,11,1,,1,1,,0,3,
,Desper,Kayla,,,12,,,1,1,,1,3,
,Dickson,Kelsey,,,1,,,2,,,1,3,
,Dietz,Kelsey,,,2,,1,1,,,1,3,
,Dillenburger,Kelsey,,,3,,,1,2,,0,3,
,Dillon,Kelsey,,,4,,,1,,,1,2,
,Dillon,Kristen,,,5,,,1,,,1,2,
,Dillon,Kristen,,,6,,,0,,,2,2,
,Dixon,Laura,,,7,,,1,,,1,2,
,Dixon,Laura,,,8,,,1,,,1,2,
,Dixon,Lexie,,,9,1,,1,,,0,2,
,Doan,Lexie,,,10,,,1,,,1,2,
,Doane,Lexie,,,11,,,1,,,1,2,
,Dolan,Lexi,,,12,,,0,2,,0,2,
,Donahoe,Lexi,,,1,,,1,,,1,2,
,Donaldson,Lauren,,,2,,,1,,,1,2,
,Donaldson,Lauren,,,3,,,1,,,1,2,
,Dortch,Lauren,,,4,,,0,1,,1,2,
,Doty,Macey,,,5,,,1,,,1,2,
,Dougherty,Lucy,,,6,,,1,,,1,2,
,Douglas,Lucy,,,7,,,1,1,,0,2,
,Dowdell,Lucy,,,8,2,,0,,,0,2,
,Downs,Lucy,,,9,,,1,1,,0,2,
,Drake,Lucile,,,10,,,2,,,0,2,
